0,0.067243,-0.28261,-0.13698,-0.042558,-0.27409,0.087461
1,0.067866,-0.28284,-0.13638,-0.042346,-0.27414,0.087912
2,0.068463,-0.28299,-0.13591,-0.04208,-0.27414,0.088268
3,0.069059,-0.28306,-0.13554,-0.041756,-0.27409,0.088546
4,0.069674,-0.2831,-0.13525,-0.041368,-0.27399,0.088763
5,0.070311,-0.28311,-0.13504,-0.040916,-0.27384,0.088933
6,0.070941,-0.28309,-0.13489,-0.04042,-0.27364,0.089075
7,0.071494,-0.28305,-0.13478,-0.039939,-0.27341,0.089219
8,0.071902,-0.28296,-0.13464,-0.03961,-0.27319,0.089416
9,0.072297,-0.28278,-0.1342,-0.039591,-0.27309,0.089739
10,0.073185,-0.28255,-0.13315,-0.039844,-0.27321,0.090222
11,0.075049,-0.28233,-0.13143,-0.040062,-0.27349,0.090803
12,0.077886,-0.28217,-0.12927,-0.039994,-0.27383,0.091406
13,0.081447,-0.28208,-0.12683,-0.039608,-0.27418,0.092014
14,0.085538,-0.28206,-0.12416,-0.038966,-0.27455,0.092647
15,0.090052,-0.28214,-0.12123,-0.038131,-0.27501,0.093333
16,0.09488,-0.28235,-0.11806,-0.037158,-0.27559,0.094072
17,0.09984,-0.28274,-0.11475,-0.036101,-0.27631,0.094805
18,0.10472,-0.28335,-0.11149,-0.035009,-0.27717,0.09544
19,0.1096,-0.28413,-0.10814,-0.033878,-0.27811,0.096047
20,0.11491,-0.28488,-0.10413,-0.032656,-0.27911,0.096924
21,0.12091,-0.2855,-0.099181,-0.03132,-0.28016,0.098251
22,0.12752,-0.28602,-0.093433,-0.029867,-0.28131,0.099966
23,0.13465,-0.28648,-0.087052,-0.028228,-0.2826,0.10196
24,0.14406,-0.28789,-0.080787,-0.024837,-0.28513,0.10316
25,0.15547,-0.28632,-0.071163,-0.020621,-0.28598,0.10626
26,0.16433,-0.28666,-0.063003,-0.016985,-0.28752,0.10902
27,0.17603,-0.28796,-0.052657,-0.011806,-0.29001,0.11221
28,0.18004,-0.28854,-0.04905,-0.0087181,-0.29099,0.1133
29,0.188,-0.28891,-0.040678,-0.0051408,-0.29282,0.11656
30,0.19564,-0.29005,-0.033377,-0.0009811,-0.29474,0.11944
31,0.20373,-0.29097,-0.025721,0.0037467,-0.29669,0.12251
32,0.21237,-0.29165,-0.017639,0.0090943,-0.29862,0.12584
33,0.22165,-0.29205,-0.0090059,0.015176,-0.30054,0.12954
34,0.23164,-0.29215,0.00030424,0.022118,-0.3024,0.13377
35,0.24209,-0.29202,0.010199,0.029807,-0.30421,0.13855
36,0.25234,-0.29192,0.020132,0.037621,-0.30596,0.14358
37,0.26168,-0.29215,0.029415,0.044811,-0.30769,0.14838
38,0.27014,-0.29271,0.037878,0.051246,-0.30941,0.15271
39,0.2782,-0.29345,0.045828,0.057338,-0.3111,0.15672
40,0.28629,-0.2942,0.053604,0.063516,-0.31274,0.16063
41,0.29466,-0.29487,0.061413,0.070039,-0.31431,0.16459
42,0.30344,-0.29542,0.069365,0.077044,-0.31582,0.1687
43,0.31272,-0.29583,0.077512,0.084603,-0.31725,0.17299
44,0.3225,-0.29608,0.085865,0.092745,-0.3186,0.1775
45,0.33277,-0.2962,0.094375,0.10145,-0.31985,0.18223
46,0.3434,-0.29621,0.10293,0.11063,-0.32101,0.18715
47,0.35424,-0.29614,0.11137,0.12015,-0.32203,0.19216
48,0.36508,-0.29602,0.1195,0.12982,-0.32289,0.19718
49,0.37568,-0.29588,0.12712,0.13944,-0.32357,0.20208
50,0.3859,-0.29574,0.13413,0.14884,-0.32403,0.20678
51,0.39563,-0.2956,0.14049,0.1579,-0.32427,0.21125
52,0.40484,-0.29546,0.14624,0.16659,-0.32428,0.21549
53,0.41354,-0.29531,0.15147,0.17488,-0.3241,0.21952
54,0.42178,-0.29515,0.15628,0.18278,-0.32376,0.22338
55,0.42959,-0.29499,0.16076,0.19032,-0.32329,0.2271
56,0.43702,-0.29483,0.16497,0.19752,-0.32272,0.2307
57,0.44412,-0.29464,0.16899,0.20443,-0.32208,0.2342
58,0.45098,-0.29439,0.17284,0.21113,-0.32137,0.23761
59,0.45772,-0.29402,0.17658,0.21771,-0.32055,0.24096
60,0.46446,-0.29343,0.18024,0.22433,-0.31955,0.24426
61,0.47138,-0.29252,0.18386,0.23114,-0.31827,0.24755
62,0.4786,-0.29118,0.18749,0.23826,-0.31662,0.25087
63,0.48616,-0.28938,0.1911,0.24573,-0.31452,0.25424
64,0.49395,-0.28721,0.19462,0.25344,-0.31197,0.25761
65,0.50174,-0.28487,0.19792,0.26119,-0.30911,0.26091
66,0.50926,-0.28265,0.20083,0.26869,-0.30612,0.26403
67,0.51631,-0.28079,0.20326,0.27575,-0.30321,0.26687
68,0.5228,-0.27941,0.20514,0.28228,-0.30052,0.26938
69,0.52873,-0.27854,0.20651,0.28828,-0.29813,0.27155
70,0.53417,-0.27811,0.20747,0.2938,-0.29603,0.27341
71,0.53916,-0.27799,0.20813,0.2989,-0.29419,0.27502
72,0.54374,-0.27804,0.20863,0.30359,-0.29256,0.27644
73,0.5479,-0.27814,0.20907,0.30787,-0.2911,0.27773
74,0.55162,-0.27821,0.20953,0.31171,-0.28977,0.27894
75,0.55492,-0.2782,0.21003,0.31513,-0.28852,0.28009
76,0.55784,-0.27813,0.21055,0.31817,-0.28733,0.28119
77,0.56048,-0.27803,0.21103,0.32093,-0.28619,0.2822
78,0.56294,-0.27792,0.2114,0.32352,-0.28507,0.2831
79,0.56533,-0.27782,0.21161,0.32605,-0.28396,0.28387
80,0.56774,-0.27773,0.21162,0.32863,-0.28283,0.2845
81,0.57027,-0.27761,0.21144,0.33135,-0.28163,0.28499
82,0.573,-0.27741,0.21106,0.3343,-0.28033,0.28537
83,0.57602,-0.27704,0.21054,0.33756,-0.27886,0.28568
84,0.57939,-0.27641,0.20994,0.34121,-0.27716,0.28597
85,0.58316,-0.27542,0.20933,0.34526,-0.27516,0.28629
86,0.58728,-0.27403,0.20877,0.34969,-0.27285,0.28671
87,0.59167,-0.27223,0.20832,0.35439,-0.27024,0.28725
88,0.59614,-0.27013,0.20799,0.35918,-0.26744,0.2879
89,0.60052,-0.26786,0.20777,0.36386,-0.26458,0.28864
90,0.6046,-0.2656,0.20763,0.36824,-0.26181,0.28941
91,0.60824,-0.26352,0.20751,0.37217,-0.25927,0.29016
92,0.61139,-0.26176,0.20739,0.3756,-0.2571,0.29085
93,0.61403,-0.26041,0.20722,0.37849,-0.25535,0.29143
94,0.6162,-0.25952,0.20701,0.3809,-0.25407,0.2919
95,0.61798,-0.25912,0.20677,0.38291,-0.25329,0.29226
96,0.6195,-0.25918,0.20652,0.38461,-0.25298,0.29252
97,0.62087,-0.25967,0.20634,0.38614,-0.25312,0.29273
98,0.61674,-0.26149,0.19732,0.38322,-0.25302,0.28672
99,0.61635,-0.26146,0.19566,0.38324,-0.25151,0.28591
